Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2022-12-25 17:00:13.517,ea8e0456-f899-51bb-a2a9-58747b45db01,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,1313.88,1314.0,128,83
2022-12-25 17:00:13.435,410579ff-e2d8-5918-827d-25dd61048de1,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,882.48,883.0,128,83
2022-12-25 17:00:13.396,2f746766-6aeb-51df-8eab-3b44e937a643,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,934.38,935.0,128,82
2022-12-25 17:00:13.288,8a3764bb-1b42-5d6c-979d-3899989e4cf7,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,839.64,840.0,128,83
2022-12-25 17:00:13.009,fb250c1a-dd06-5c8f-bed6-50385edd57f9,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,1196.16,1197.0,128,83
2022-12-25 17:00:12.846,48a27664-a0e0-5a77-8933-2a46233bbbec,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,848.55,849.0,128,83
2022-12-25 17:00:12.829,faf4f6b1-cdfd-501e-b038-aa934e211185,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,792.8,793.0,128,83
2022-12-25 17:00:12.771,81cfa6d4-c094-51fb-bfdc-faf6434f8060,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,835.74,836.0,128,82
2022-12-25 17:00:12.727,511e0086-b094-5367-a667-5ca4334f02fc,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,907.04,908.0,128,83
2022-12-25 17:00:12.535,6773e118-af7c-5c4c-bb1c-bd3a2ca768b5,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,891.74,892.0,128,83
2022-12-25 17:00:12.428,e5d7cf57-11ab-5582-a0ef-93759270f419,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,814.95,815.0,128,83
2022-12-25 17:00:12.155,58438eb1-456b-5aa5-ad92-d293c6ba8d39,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,973.88,974.0,128,83
2022-12-25 17:00:11.912,9237a962-e4f5-5f91-bc5e-f540672ec52b,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,858.87,859.0,128,82
2022-12-25 17:00:11.649,90a65ac8-b70a-5d4c-b95a-06ea34d05cd7,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,831.12,832.0,128,83
2022-12-25 17:00:11.635,49b380e9-d3f9-5a81-91fb-dccb50231b1a,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,855.41,856.0,128,83
2022-12-25 17:00:11.588,da806b8c-3e25-53c1-8593-37aebdff825a,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,865.6,866.0,128,83
2022-12-25 17:00:11.548,d7f328eb-3e1b-5bf9-b106-74c9bdc1af00,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,877.58,878.0,128,83
2022-12-25 17:00:11.506,0736d456-0656-5e66-bed2-8874858c4510,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,813.65,814.0,128,83
2022-12-25 17:00:11.429,246ab9d4-f8fe-5b3e-bea7-e5f67b248e82,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,817.48,818.0,128,83
2022-12-25 17:00:11.216,e38c1660-40fe-5e40-b1c1-4a42c324ebfc,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,910.62,911.0,128,82
2022-12-25 17:00:11.161,1e375b88-fc97-52a0-8fa6-07aa7f40da01,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,838.78,839.0,128,83
2022-12-25 17:00:10.775,e59e257e-adbb-5ee9-a756-795c2e627b55,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,857.2,858.0,128,83
2022-12-25 17:00:10.749,8a265db7-e9fb-5c17-a97f-01956a22f6ad,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,805.47,806.0,128,83
